Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛСИБСВЯЗЬ+""";"ООО ""УРАЛСИБСВЯЗЬ+""";Общества с ограниченной ответственностью;629800, ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ, Г. НОЯБРЬСК, УЛ. ИЗЫСКАТЕЛЕЙ, Д.36, 58;1108905001040;8905047955;+7(3496)458-700;info@uralsibs.ru;ямало-ненецкий автономный округ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛТЕЛЕБЕСТ""";"ООО ""УРАЛТЕЛЕБЕСТ""";Общества с ограниченной ответственностью;450005, РЕСПУБЛИКА БАШКОРТОСТАН, Г. УФА, УЛ. 50-ЛЕТИЯ ОКТЯБРЯ, Д.30, 39;1020202854836;0276065157;+7 (347) 251-55-15;ibai@bk.ru;республика башкортостан
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛТЕЛЕКОМ""";"ООО ""УРАЛТЕЛЕКОМ""";Общества с ограниченной ответственностью;456110, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, муниципальный район КАТАВ-ИВАНОВСКИЙ, Г.П. КАТАВ-ИВАНОВСКОЕ, Г КАТАВ-ИВАНОВСК, УЛ СТЕПАНА РАЗИНА, Д. 23, КВ. 58;1057405000180;7410006496;+7 922 237-85-45;uraltelecom@yandex.ru;челябинская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛХОЛОДСТРОЙ""";"ООО ""УРАЛХОЛОДСТРОЙ""";Общества с ограниченной ответственностью;614000, ПЕРМСКИЙ КРАЙ, городской округ ПЕРМСКИЙ, Г ПЕРМЬ, УЛ ПЕРМСКАЯ, Д. 30, КВ. 12;1105906007239;5906103653;7-922-241-90-90;mto-perm@yandex.ru;пермский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКАЯ СОТОВАЯ КОМПАНИЯ""";"ООО ""УРАЛЬСКАЯ СОТОВАЯ КОМПАНИЯ""";Общества с ограниченной ответственностью;620075, СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, УЛ. ГОГОЛЯ, Д.15, К.Б;1096671011579;6671295473;(343) 269-81-30;uralsotcomp@gmail.com;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКАЯ ТЕЛЕКОММУНИКАЦИОННАЯ КОМПАНИЯ""";"ООО ""УТК""";Общества с ограниченной ответственностью;614067, ПЕРМСКИЙ КРАЙ, Г. ПЕРМЬ, УЛ. МАШИНИСТОВ, Д. 49, ПОМЕЩ. 24;1185958025000;5903138778;+7 992 225-02-39;manager@tk-ural.ru;пермский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЕ КАБЕЛЬНЫЕ СЕТИ - ОЗЕРСК""";"ООО ""УКС - ОЗЕРСК""";Общества с ограниченной ответственностью;456780, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, Г. ОЗЕРСК, ПР-КТ ПОБЕДЫ, Д.8;1097422001258;7422045115;+7 351 304-03-01;info@ozersk.net;челябинская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЕ КАБЕЛЬНЫЕ СЕТИ""";"ООО ""УКС""";Общества с ограниченной ответственностью;456870, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, Г. КЫШТЫМ, УЛ. ГОРЕЛОВА, Д. 63, КВ. ОФИС 6;1067413000390;7413011670;(35151) 411-72;uks-km@mail.ru;челябинская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЕ КАБЕЛЬНЫЕ СЕТИ""";"ООО ""УКС""";Общества с ограниченной ответственностью;456770, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, Г. СНЕЖИНСК, УЛ. ВАСИЛЬЕВА, Д. 16, ОФИС 15;1027401354639;7423001826;(35146) 222-23;22223@35146.ru;челябинская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЕ СЕТИ""";"ООО ""УРАЛЬСКИЕ СЕТИ""";Общества с ограниченной ответственностью;624800, СВЕРДЛОВСКАЯ ОБЛАСТЬ, СУХОЛОЖСКИЙ Р-Н, Г СУХОЙ ЛОГ, УЛ ГАГАРИНА, Д. 9;1046602081074;6633009386;(34373) 4-48-07;unw@inbox.ru;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРАЛЬСКИЕ ТЕЛЕКОММУНИКАЦИОННЫЕ СЕТИ""";"ООО ""УТС""";;620027, СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. ЕКАТЕРИНБУРГ, ПЕР. КРАСНЫЙ, Д. 5, К. 1, ОФИС 408;1156678002360;6678055520;(343) 389-34-33;office@usp.ru;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРБАН НЭТ""";"ООО ""УРБАН НЭТ""";Общества с ограниченной ответственностью;394036, ВОРОНЕЖСКАЯ ОБЛАСТЬ, Г. ВОРОНЕЖ, УЛ. АРСЕНАЛЬНАЯ, Д. 3, ПОМЕЩ. 15;1203600008512;3666245351;+7 (473) 257-60-00;kea@tecsgroup.ru;воронежская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УРБАНОМИКА""";"ООО ""УРБАНОМИКА""";Общества с ограниченной ответственностью;123001, Г.МОСКВА, ПЕР. МАМОНОВСКИЙ, Д. 6, ЭТ ЦОК ПОМ II КОМ 8;5077746754950;7727613193;8-495-432-04-40;mail@urbanomika.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСИНСК-ИНФОРМ""";"ООО ""УСИНСК-ИНФОРМ""";Общества с ограниченной ответственностью;169711, РЕСПУБЛИКА КОМИ, Г УСИНСК, УЛ НЕФТЯНИКОВ, Д. 38, ОФИС 7;1021100898092;1106013964;+8-821-444-22-12;inform@ui.life;республика коми
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСИНСК-СЕТЬ""";"ООО ""УСИНСК-СЕТЬ""";Общества с ограниченной ответственностью;169711, РЕСПУБЛИКА КОМИ, Г УСИНСК, УЛ ПАРКОВАЯ, Д. 13Б, 70;1121106000443;1106028551;+7 (821) 445-97-00;support@usinsknet.ru;республика коми
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСПЕХ""";"ООО ""УСПЕХ""";Общества с ограниченной ответственностью;188800, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, ВЫБОРГСКИЙ Р-Н, Г. ВЫБОРГ, Ш. ЛЕНИНГРАДСКОЕ, Д. 33, ПОМЕЩ. 4;1044700873810;4704055691;(81378)98-0-98;info@comfort-tv.ru;ленинградская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСТОЙЧИВЫЕ СИСТЕМЫ""";"ООО ""УСТОЙЧИВЫЕ СИСТЕМЫ""";Общества с ограниченной ответственностью;603032, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, городской округ ГОРОД НИЖНИЙ НОВГОРОД, Г НИЖНИЙ НОВГОРОД, УЛ ПЕРЕКОПСКАЯ, Д. 12;1025203741782;5262092248;+7 (831) 275-91-58;mav@usnn.ru;нижегородская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСТЬ-ИЛИМСКАЯ ТЕЛЕРАДИОКОМПАНИЯ""";"ООО ""УИ ТРК""";Общества с ограниченной ответственностью;666686, ИРКУТСКАЯ ОБЛАСТЬ, Г. УСТЬ-ИЛИМСК, ПР-КТ МИРА, Д.62, 1;1023802004588;3817022247;+7 914 899-15-10;ioganson@yandex.ru;иркутская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСТЮГ - МЕДИА""";"ООО ""УСТЮГ - МЕДИА""";Общества с ограниченной ответственностью;162390, ВОЛОГОДСКАЯ ОБЛАСТЬ, муниципальный округ ВЕЛИКОУСТЮГСКИЙ, Г ВЕЛИКИЙ УСТЮГ, ПР-КТ СОВЕТСКИЙ, Д. 149, ОФИС 1;1053500650675;3526019828;(8202) 57-38-34;unvakurina@35media.ru;вологодская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЧЕБНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""МИКРОКОМПОНЕНТ""";"ООО УПП ""МИКРОКОМПОНЕНТ""";Общества с ограниченной ответственностью;369000, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, Г. ЧЕРКЕССК, УЛ. КАВКАЗСКАЯ, Д.19;1020900511092;0901012957;(87822)5-41-09, 200-09;mkk@cherkessk.ru;карачаево-черкесская республика
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЧЕБНЫЙ КОММЕРЧЕСКИЙ ЦЕНТР ""ИНТЕГРАЛ""";"ООО УКЦ ""ИНТЕГРАЛ""";Общества с ограниченной ответственностью;641100, КУРГАНСКАЯ ОБЛАСТЬ, ШУМИХИНСКИЙ Р-Н, Г ШУМИХА, УЛ КИРОВА, Д. 50;1024501983593;4524005476;+7(352)4521859;scc_integral@mail.ru;курганская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЭХК-ТЕЛЕКОМ""";"ООО ""УЭХК-ТЕЛЕКОМ""";Общества с ограниченной ответственностью;624130, СВЕРДЛОВСКАЯ ОБЛАСТЬ, Г. НОВОУРАЛЬСК, УЛ. АВТОЗАВОДСКАЯ, Д.3;1106629000983;6629026082;(34370) 23-800, 212-70;tech_otdel@netgts.ru;свердловская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЮТ ТЕЛЕКОМ""";"ООО ""УЮТ ТЕЛЕКОМ""";Общества с ограниченной ответственностью;193091, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ НЕВСКИЙ ОКРУГ, НАБ ОКТЯБРЬСКАЯ, Д. 10, К. 1, СТР. 1, ПОМЕЩ. 16-Н;1227800149092;7811782062;+7 931 220 95 93;TOP@UUT-TELECOM.RU;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЮТНЫЙ ДОМ""";"ООО ""УЮТНЫЙ ДОМ""";Общества с ограниченной ответственностью;607500, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, СЕРГАЧСКИЙ Р-Н, Г СЕРГАЧ, УЛ СОВЕТСКАЯ, Д. 150;1075229000571;5229007608;+7 952 761-05-71;natali-bochkarnikova@yandex.ru;нижегородская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Ф-КОМ""";"ООО ""Ф-КОМ""";Общества с ограниченной ответственностью;141202, МОСКОВСКАЯ ОБЛАСТЬ, ПУШКИНО Г., УЛ. ИНСТИТУТСКАЯ, Д.12, ПОМ. 7-12;1105038005390;5038077629;+7 (925) 715-88-67;info@intra-lan.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Ф-ТЕЛ""";"ООО ""Ф-ТЕЛ""";Общества с ограниченной ответственностью;121552, Г.МОСКВА, УЛ. ОРШАНСКАЯ, Д. 5, ЭТ 5 ПОМ II КОМ 15, ОФИС 5/4-3;1197746462484;9731048999;+7 (903) 758-99-87;f-tel@mail.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАБРИК-А""";"ООО ""ФАБРИК-А""";Общества с ограниченной ответственностью;423457, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), АЛЬМЕТЬЕВСКИЙ Р-Н, Г. АЛЬМЕТЬЕВСК, УЛ. МИРА, Д. 2А, КВ. 3/6569;1141690018293;1656076083;8 937 299 56 05;fabrik_2014@mail.ru;республика татарстан (татарстан)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАВОРИТ ЭКСПРЕСС""";"ООО ""ФАВОРИТ ЭКСПРЕСС""";Общества с ограниченной ответственностью;236016, КАЛИНИНГРАДСКАЯ ОБЛАСТЬ, городской округ ГОРОД КАЛИНИНГРАД, Г КАЛИНИНГРАД, УЛ ФОРТОВАЯ ДОРОГА, Д. 11, КВ. 60;1203900000864;3906387909;(909) 785-57-40;favoritexpress39@gmail.com;калининградская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАВОРИТ""";"ООО ""ФАВОРИТ""";Общества с ограниченной ответственностью;125080, Г.МОСКВА, Ш. ВОЛОКОЛАМСКОЕ, Д. 1, СТР. 1, ЭТАЖ 3 ПОМЕЩЕНИЕ IV КОМНАТА 33;1177746113841;7736289850;8 (926) 656-07-36;9266560736@mail.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙБЕРНЕТ""";"ООО ""ФАЙБЕРНЕТ""";Общества с ограниченной ответственностью;634061, ТОМСКАЯ ОБЛАСТЬ, Г. ТОМСК, УЛ. ТВЕРСКАЯ, Д.51, 91;1067017153884;7017147519;8-3822-215-216;aleksandr@fibrenet.ru;томская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙБЕРСАЙД""";"ООО ""ФАЙБЕРСАЙД""";Общества с ограниченной ответственностью;344011, РОСТОВСКАЯ ОБЛАСТЬ, Г. РОСТОВ-НА-ДОНУ, УЛ. КРАСНОАРМЕЙСКАЯ, Д. 13/95, ОФИС 19;1136164006901;6164314409;+7 (863) 246-42-68;info@fiberside.ru;ростовская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙБЕРТЕЛ""";"ООО ""ФАЙБЕРТЕЛ""";Общества с ограниченной ответственностью;197101, Г.САНКТ-ПЕТЕРБУРГ, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ПОСАДСКИЙ, УЛ БОЛЬШАЯ МОНЕТНАЯ, Д. 26, ЛИТЕРА А, ПОМЕЩ. 15,16,17;1167847204161;7813250708;+7 921 189-88-85;tech@fiber-tel.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙБЕРТЕЛЕ.КОМ""";"ООО ""ФАЙБЕРТЕЛЕ.КОМ""";Общества с ограниченной ответственностью;344006, РОСТОВСКАЯ ОБЛАСТЬ, Г. РОСТОВ-НА-ДОНУ, УЛ. СЕДОВА, Д. 9, КВ. 2А;1176196017997;6163153780;(918)581-16-06;sales@fiber.ru;ростовская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙДЕС ДАТА""";"ООО ""ФАЙДЕС ДАТА""";Общества с ограниченной ответственностью;111033, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЛЕФОРТОВО, ПЕР СРЕДНИЙ ЗОЛОТОРОЖСКИЙ, Д. 13;1207700168169;7722487690;+7 (925) 725-98-96;kambievaz@bk.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙЛ""";"ООО ""ФАЙЛ""";Общества с ограниченной ответственностью;169313, РЕСПУБЛИКА КОМИ, Г УХТА, ПР-КТ ЛЕНИНА, Д. 17;1021100733280;1102006162;+7 821 674-60-65;eplus@inbox.ru;республика коми
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙНАМБЕРС""";"ООО ""ФАЙНАМБЕРС""";Общества с ограниченной ответственностью;630007, НОВОСИБИРСКАЯ ОБЛАСТЬ, городской округ ГОРОД НОВОСИБИРСК, Г НОВОСИБИРСК, УЛ СЕРЕБРЕННИКОВСКАЯ, Д. 14, ОФИС 1202;1225400052195;5406828161;+7 800 777-73-73;legal@finenumbers.com;новосибирская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЙНАМБЕРС""";"ООО ""ФАЙНАМБЕРС""";Общества с ограниченной ответственностью;630007, НОВОСИБИРСКАЯ ОБЛАСТЬ, Г. НОВОСИБИРСК, УЛ. СИБРЕВКОМА, Д. 7/1, ОФИС 10;1175476031389;5406972824;+7 (800) 777-73-73;russia@finenumbers.com;новосибирская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАКТОР""";"ООО ""ФАКТОР""";Общества с ограниченной ответственностью;195027, Г.САНКТ-ПЕТЕРБУРГ, УЛ. МАГНИТОГОРСКАЯ, Д. 23, К. 1, ОФИС 524;1047823009882;7814155729;+8-812-336-62-58;factorooo@mail.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАКТОРИН""";"ООО ""ФАКТОРИН""";Общества с ограниченной ответственностью;119435, Г.МОСКВА, ПЕР. БОЛЬШОЙ САВВИНСКИЙ, Д. 8, СТР. 1, ЭТ/ПОМ/КОМ 2/1/2;1187746773840;7704459971;8-925-529-07-40;admin@factorin.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАКТТЕЛЕКОМ""";"ООО ""ФАКТТЕЛЕКОМ""";Общества с ограниченной ответственностью;350073, КРАСНОДАРСКИЙ КРАЙ, Г. КРАСНОДАР, УЛ. ИМ. КИРИЛЛА РОССИНСКОГО, Д. 6, ПОМЕЩ. 7;1192375077333;2311297277;+7 9189902191;buh2324@bk.ru;краснодарский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЛКОН-КОЛОМНА""";"ООО ""ФАЛКОН-КОЛОМНА""";Общества с ограниченной ответственностью;140411, МОСКОВСКАЯ ОБЛАСТЬ, КОЛОМНА Г., УЛ. МАКЕЕВА, Д.1 А, 157;1035004250490;5022027189;7-903-769-10-62;pavel-d8@yandex.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЛЬКОН""";"ООО ""ФАЛЬКОН""";Общества с ограниченной ответственностью;142300, МОСКОВСКАЯ ОБЛАСТЬ, муниципальный округ ЧЕХОВ, Г ЧЕХОВ, Ш СИМФЕРОПОЛЬСКОЕ, Д. 2;1185053028160;5053057176;+7 9995558855;office@falcondc.ru;московская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАНАТ""";"ООО ""ФАНАТ""";Общества с ограниченной ответственностью;357601, СТАВРОПОЛЬСКИЙ КРАЙ, Г ЕССЕНТУКИ, УЛ ПЯТИГОРСКАЯ, Д. 143;1022601319916;2628039525;(87934)2-88-61;simpex@simpex.ru;ставропольский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАНД""";"ООО ""ФАНД""";Общества с ограниченной ответственностью;690001, ПРИМОРСКИЙ КРАЙ, Г. ВЛАДИВОСТОК, УЛ. СВЕТЛАНСКАЯ, Д.127, К.А, 52;1092536002338;2536214576;[внести изменения];sereb@telekom-24.ru;приморский край
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАННЕТ-ТЕЛЕКОМ""";"ООО ""ФАННЕТ-ТЕЛЕКОМ""";Общества с ограниченной ответственностью;410012, САРАТОВСКАЯ ОБЛАСТЬ, Г. САРАТОВ, УЛ. ВОЛЬСКАЯ, Д. 70, ОФИС 35;1176451025673;6452130630;+7 845 239-11-99;sisekin@domtv.ru;саратовская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАОН""";"ООО ""ФАОН""";Общества с ограниченной ответственностью;105264, Г.МОСКВА, Б-Р ИЗМАЙЛОВСКИЙ, Д.31/14;1067761857195;7719616480;8 (926) 326-53-70;faon@inbox.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРЛАЙН""";"ООО ""ФАРЛАЙН""";Общества с ограниченной ответственностью;295011, РЕСПУБЛИКА КРЫМ, Г СИМФЕРОПОЛЬ, УЛ САМОКИША, Д. 16, ОФИС 12;1159102077848;9102177469;+7 (3652)788-020;ref@farline.net;республика крым
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРС""";"ООО ""ФАРС""";Общества с ограниченной ответственностью;152934, ЯРОСЛАВСКАЯ ОБЛАСТЬ, РЫБИНСКИЙ Р-Н, Г. РЫБИНСК, УЛ. ПЛЕХАНОВА, Д.10;1027601115266;7610021244;(4855) 28-90-69, 290-535;sereb@telekom-24.ru;ярославская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРТЕЛ""";"ООО ""ФАРТЕЛ""";Общества с ограниченной ответственностью;197349, Г.САНКТ-ПЕТЕРБУРГ, Б-Р СЕРЕБРИСТЫЙ, Д. 17, К. 1 ЛИТЕРА А, ПОМЕЩ. 26Н;1147847196298;7814613601;(812) 670-46-00;info@fartel.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТ ЛИНК""";"ООО ""ФАСТ ЛИНК""";Общества с ограниченной ответственностью;170028, ТВЕРСКАЯ ОБЛАСТЬ, Г ТВЕРЬ, НАБ РЕКИ ЛАЗУРИ, Д. 15, ОФИС 300;1076952017670;6950063289;+7(482)2655655;mgv@fastlnk.ru;тверская область
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТ ТЕЛЕКОМ""";"ООО ""ФАСТ ТЕЛЕКОМ""";Общества с ограниченной ответственностью;129336, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ЛОСИНООСТРОВСКИЙ, УЛ ТАЙМЫРСКАЯ, Д. 2;1117746456244;7716691400;+7 (495) 988-89-97;info@fasttel.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТ-ДАТА""";"ООО ""ФАСТ-ДАТА""";Общества с ограниченной ответственностью;125499, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ГОЛОВИНСКИЙ, Б-Р КРОНШТАДТСКИЙ, Д. 39, К. 1, ПОМЕЩ. 4П;1237700897851;7743434515;+7 (915) 211-88-95;fast-data@mail.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТВПС.РУ""";"ООО ""ФАСТВПС.РУ""";Общества с ограниченной ответственностью;197343, Г.САНКТ-ПЕТЕРБУРГ, УЛ. МАТРОСА ЖЕЛЕЗНЯКА, Д. 57, ЛИТЕР А, ПОМЕЩ. 119-Н, КОМНАТА 4;1157847177553;7814232405;(812)648-17-40;gavrilin@fastvps.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТВПС.ХОСТИНГ""";"ООО ""ФАСТВПС.ХОСТИНГ""";Общества с ограниченной ответственностью;197343, Г.САНКТ-ПЕТЕРБУРГ, УЛ. МАТРОСА ЖЕЛЕЗНЯКА, Д. 57, ЛИТЕР А, ПОМЕЩ. 119-Н, КОМНАТА 5;1157847173428;7814231169;7-905-210-75-79;chernova@fastvps.hosting;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТКОМ""";"ООО ""ФАСТКОМ""";Общества с ограниченной ответственностью;115191, Г.МОСКВА, УЛ. МЫТНАЯ, Д. 66, ЭТАЖ 3;1117746465440;7702764401;+7 (495) 414-11-08;info@voximplant.com;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТМАЙЛ""";"ООО ""ФАСТМАЙЛ""";Общества с ограниченной ответственностью;195009, Г.САНКТ-ПЕТЕРБУРГ, НАБ. СВЕРДЛОВСКАЯ, Д. 4, ЛИТЕР А, ОФИС 110, ПОМЕЩЕНИЕ 1Н;1177847328812;7814707232;8-812-611-11-42;Info@fastmile.ru;г.санкт-петербург
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАСТНЕТ""";"ООО ""ФАСТНЕТ""";Общества с ограниченной ответственностью;117556, Г.МОСКВА, Б-Р ЧЕРНОМОРСКИЙ, Д. 4, К. 2, ЭТ 1 ПОМ III;1057747727993;7726525466;+7(929)9637617;p4p@mail.ru;г.москва
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАТУМ - Э""";"ООО ""ФАТУМ - Э""";Общества с ограниченной ответственностью;420141, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. КУЛ ГАЛИ, Д. 24, ПОМЕЩ. 11;1021602838817;1655034059;(843) 211-21-55, 261-55-22;info@fatum.ru;республика татарстан (татарстан)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАТУМ""";"ООО ""ФАТУМ""";Общества с ограниченной ответственностью;420141, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. КУЛ ГАЛИ, Д. 24, ПОМЕЩ. 56;1171690021821;1659179753;8 (843) 211-21-55;info@fatum.ru;республика татарстан (татарстан)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАТУМ-3""";"ООО ""ФАТУМ-3""";Общества с ограниченной ответственностью;420141, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. КУЛ ГАЛИ, Д. 24, ПОМЕЩ. 10;1041625405667;1657048628;(843) 211-21-55, 261-55-22;info@fatum.ru;республика татарстан (татарстан)
